"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column"
"303745775","43","BRONX","07/19/2023","15:00:00","03/24/2025","20:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO BRONX","420","LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE - APT. HOUSE","03/24/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","ASIAN / PACIFIC ISLANDER","M","1024718","239297","40.823407","-73.853784","(40.823407, -73.853784)","POINT (-73.853784 40.823407)"
"312276349","60","BROOKLYN","07/20/2023","08:00:00","08/27/2023","16:45:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO BKLYN SOUTH","437","LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT","RESIDENCE-HOUSE","09/03/2025","(null)","25-44","ASIAN / PACIFIC ISLANDER","M",,"45-64","ASIAN / PACIFIC ISLANDER","F","984298","149170","40.576123","-73.999826","(40.576123, -73.999826)","POINT (-73.999826 40.576123)"
"306930411","48","BRONX","07/20/2023","00:00:00","05/19/2025","00:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO BRONX","403","LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","FAST FOOD","05/23/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1016153","252269","40.859047","-73.884668","(40.859047, -73.884668)","POINT (-73.884668 40.859047)"
"300364800","106","QUEENS","07/20/2023","00:00:00","07/20/2023","00:20:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO QUEENS SOUTH","175","SEXUAL ABUSE 3,2","RESIDENCE - APT. HOUSE","01/31/2025","(null)","25-44","WHITE HISPANIC","M",,"18-24","WHITE HISPANIC","F","1028607","187930","40.68239827933","-73.84007215775","(40.682398279333, -73.8400721577516)","POINT (-73.8400721577516 40.682398279333)"
"308067143","103","QUEENS","07/20/2023","00:00:00","11/20/2024","06:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO QUEENS SOUTH","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","06/12/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","UNKNOWN","M","1043151","198462","40.711224","-73.78754","(40.711224, -73.78754)","POINT (-73.78754 40.711224)"
"301436109","10","MANHATTAN","07/21/2023","08:00:00","09/01/2024","08:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO MAN SOUTH","437","LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT","RESIDENCE - APT. HOUSE","02/20/2025","(null)","25-44","ASIAN / PACIFIC ISLANDER","M",,"25-44","ASIAN / PACIFIC ISLANDER","M","984572","214755","40.756139","-73.998838","(40.756139, -73.998838)","POINT (-73.998838 40.756139)"
"305152082","24","MANHATTAN","07/21/2023","13:00:00","01/21/2025","12:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO MAN NORTH","424","LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT","RESIDENCE - APT. HOUSE","04/22/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","ASIAN / PACIFIC ISLANDER","M","989890","227434","40.790938","-73.97963","(40.790938, -73.97963)","POINT (-73.97963 40.790938)"
"303211843","94","BROOKLYN","07/21/2023","02:41:00","07/21/2023","03:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","106","FELONY","INSIDE","FELONY ASSAULT","(null)","PATROL BORO BKLYN NORTH","109","ASSAULT 2,1,UNCLASSIFIED","COMMERCIAL BUILDING","03/19/2025","(null)","45-64","WHITE","M",,"25-44","WHITE","F","999651","199731","40.714888","-73.944445","(40.714888, -73.944445)","POINT (-73.944445 40.714888)"
"299207366","110","QUEENS","07/21/2023","00:01:00","07/21/2023","23:59:00","COMPLETED","(null)",,"73","DISTRICT ATTORNEY OFFICE","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO QUEENS NORTH","407","LARCENY,GRAND BY DISHONEST EMP","DOCTOR/DENTIST OFFICE","01/09/2025","(null)","45-64","BLACK","M",,"UNKNOWN","UNKNOWN","E","1021741","206893","40.734479","-73.86472","(40.734479, -73.86472)","POINT (-73.86472 40.734479)"
"303751148","49","BRONX","07/21/2023","00:00:00","04/25/2024","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","116","FELONY","INSIDE","SEX CRIMES","(null)","PATROL BORO BRONX","177","SEXUAL ABUSE","RESIDENCE - APT. HOUSE","03/27/2025","(null)","25-44","UNKNOWN","M",,"<18","BLACK HISPANIC","F","1027434","251387","40.8565767276","-73.84389367793","(40.8565767275976, -73.8438936779283)","POINT (-73.8438936779283 40.8565767275976)"
